"family","genus","species","latitude","insular_endemic","maximum_svl","hatchling_neonate_svl","activity_time","diet","foraging_mode","reproductive_mode","largest_clutch","age_first_breeding","iucn_redlist_assessment"
"Scincidae","Ablepharus","Ablepharus bivittatus",34.16,"no",61,18.5,"Diurnal","Carnivorous",NA,"Oviparous",5,NA,"LC"
"Scincidae","Ablepharus","Ablepharus budaki",36.44,"no",48,NA,"Diurnal","Carnivorous",NA,"Oviparous",5,NA,"LC"
"Scincidae","Ablepharus","Ablepharus chernovi",38.32,"no",54,NA,"Diurnal","Carnivorous",NA,"Oviparous",4,NA,"LC"
"Scincidae","Ablepharus","Ablepharus darvazi",38.96,"no",44,NA,"Diurnal",NA,NA,NA,NA,NA,"DD"
"Scincidae","Ablepharus","Ablepharus deserti",41.38,"no",58.8,17.5,"Diurnal","Carnivorous",NA,"Oviparous",8,10,"LC"
"Scincidae","Ablepharus","Ablepharus grayanus",27.09,"no",34.9,14.5,"Diurnal","Carnivorous",NA,"Oviparous",2,NA,"NE"
"Scincidae","Ablepharus","Ablepharus kitaibelii",41.11,"no",58,20,"Diurnal","Carnivorous",NA,"Oviparous",6,6,"LC"
"Scincidae","Ablepharus","Ablepharus lindbergi",34.28,"no",50,NA,"Diurnal",NA,NA,NA,5,NA,"LC"
"Scincidae","Ablepharus","Ablepharus pannonicus",33.16,"no",55,20,"Diurnal","Carnivorous",NA,"Oviparous",6,10,"NE"
"Scincidae","Ablepharus","Ablepharus rueppellii",31.39,"no",52,18.5,"Diurnal","Carnivorous",NA,"Oviparous",6,NA,"LC"
"Anguidae","Abronia","Abronia anzuetoi",14.44,"no",135,NA,"Diurnal",NA,NA,NA,NA,NA,"VU"
"Anguidae","Abronia","Abronia aurita",14.79,"no",125,33,"Diurnal",NA,NA,"Viviparous",12,NA,"EN"
"Anguidae","Abronia","Abronia bogerti",16.78,"no",94,NA,"Diurnal",NA,NA,NA,NA,NA,"DD"
"Anguidae","Abronia","Abronia campbelli",14.71,"no",127,NA,"Diurnal",NA,NA,"Viviparous",12,NA,"CR"
"Anguidae","Abronia","Abronia chiszari",18.38,"no",105,41,"Diurnal",NA,NA,NA,NA,NA,"EN"
"Anguidae","Abronia","Abronia cuetzpali",16.16,"no",115,NA,"Diurnal",NA,NA,NA,NA,NA,"NE"
"Anguidae","Abronia","Abronia deppii",19.01,"no",121,34.2,"Diurnal",NA,NA,"Viviparous",6,NA,"EN"
"Anguidae","Abronia","Abronia fimbriata",15.21,"no",130,32,"Diurnal",NA,NA,"Viviparous",4,NA,"EN"
"Anguidae","Abronia","Abronia frosti",15.93,"no",110,NA,"Diurnal",NA,NA,NA,NA,NA,"CR"
"Anguidae","Abronia","Abronia fuscolabialis",17.3,"no",118,37,NA,NA,NA,NA,NA,NA,"EN"
"Anguidae","Abronia","Abronia gaiophantasma",15.21,"no",110,NA,"Diurnal",NA,NA,NA,NA,NA,"EN"
"Anguidae","Abronia","Abronia graminea",18.76,"no",110.7,34,"Diurnal","Carnivorous",NA,"Viviparous",12,36,"EN"
"Anguidae","Abronia","Abronia leurolepis",16.45,"no",105,NA,NA,NA,NA,NA,NA,NA,"DD"
